Disease,Diet_1,Diet_2,Diet_3,Diet_4,Diet_5
hypercholesterolemia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hyperemesis gravidarum,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hyperhidrosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hyperkalemia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hypernatremia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hyperopia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hypertension of pregnancy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hypertensive heart disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hypertrophic obstructive cardiomyopathy (hocm),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hypocalcemia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hypoglycemia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hypokalemia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hyponatremia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hypothermia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
hypothyroidism,"Iodine-rich foods (seaweed, fish)","Selenium foods (Brazil nuts, eggs)",Avoid excessive soy and cruciferous veggies raw,Zinc-rich foods,Iron-rich foods
hypovolemia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
idiopathic absence of menstruation,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
idiopathic excessive menstruation,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
idiopathic infrequent menstruation,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
idiopathic irregular menstrual cycle,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
idiopathic nonmenstrual bleeding,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
idiopathic painful menstruation,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
ileus,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
impetigo,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
impulse control disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
indigestion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
induced abortion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
infection of open wound,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
infectious gastroenteritis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
ingrown toe nail,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
inguinal hernia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
injury of the ankle,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
injury to internal organ,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
injury to the abdomen,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
injury to the arm,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
injury to the face,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
injury to the finger,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
injury to the hand,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
injury to the hip,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
injury to the knee,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
injury to the leg,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
injury to the shoulder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
injury to the spinal cord,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
injury to the trunk,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
insect bite,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
insulin overdose,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
interstitial lung disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
intertrigo (skin condition),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
intestinal cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
intestinal disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
intestinal malabsorption,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
intestinal obstruction,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
intracerebral hemorrhage,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
intracranial abscess,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
intracranial hemorrhage,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
iridocyclitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
iron deficiency anemia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
irritable bowel syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
ischemia of the bowel,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
ischemic heart disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
itching of unknown cause,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
jaw disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
joint effusion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
juvenile rheumatoid arthritis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
kidney cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
kidney disease due to longstanding hypertension,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
kidney failure,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
kidney stone,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
knee ligament or meniscus tear,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
labyrinthitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lactose intolerance,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
laryngitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lateral epicondylitis (tennis elbow),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
leukemia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lewy body dementia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lice,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lichen planus,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lichen simplex,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lipoma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
liver cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
liver disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lumbago,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lung cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lung contusion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lyme disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lymphadenitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lymphedema,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lymphogranuloma venereum,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
lymphoma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
macular degeneration,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
magnesium deficiency,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
malaria,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
male genitalia infection,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
malignant hypertension,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
marijuana abuse,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
mastectomy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
mastoiditis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
melanoma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
meniere disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
meningioma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
meningitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
menopause,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
metabolic disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
metastatic cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
migraine,Stay hydrated,"Avoid tyramine-rich foods (aged cheese, cured meats)",Avoid caffeine excess,Regular meal times,"Magnesium-rich foods (nuts, seeds)"
missed abortion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
mitral valve disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
mittelschmerz,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
molluscum contagiosum,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
mononeuritis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
mononucleosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
moyamoya disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
mucositis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
multiple myeloma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
multiple sclerosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
mumps,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
muscle spasm,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
muscular dystrophy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
myasthenia gravis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
myoclonus,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
myopia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
myositis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
narcolepsy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
nasal polyp,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
neonatal jaundice,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
nerve impingement near the shoulder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
neuralgia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
neurofibromatosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
neuropathy due to drugs,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
neurosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
nonalcoholic liver disease (nash),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
noninfectious gastroenteritis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
normal pressure hydrocephalus,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
nose disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
obsessive compulsive disorder (ocd),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
obstructive sleep apnea (osa),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
omphalitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
onychomycosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
open wound from surgical incision,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
open wound of the arm,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
open wound of the back,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
open wound of the ear,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
open wound of the eye,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
open wound of the foot,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
open wound of the lip,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
open wound of the mouth,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
open wound of the neck,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
open wound of the nose,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
oppositional disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
optic neuritis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
oral mucosal lesion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
oral thrush (yeast infection),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
orbital cellulitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
orthostatic hypotension,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
osteoarthritis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
osteochondroma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
osteochondrosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
osteomyelitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
